URI,rdf:type,rico:hasCarrierType,dcterms:format,schema:url,owl:sameAs
<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P/i/01>,rico:Instantiation,,,,
<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""https://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/8/e/1/8e1d7a1a638ff64c7d85db9fd7fedc16b5cd2d0ec3a919d389599e2c6836b76e/AP22293_M-61_ME_3765b.jpg""",<https://commons.wikimedia.org/entity/M110994295>
<http://data.qdmtl.ca/record/VM094-C196-0001/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0001/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177770/VM94C196-0001.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0002/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0002/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177850/VM94C196-0002.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0003/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0003/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177790/VM94C196-0003.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0004/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0004/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177774/VM94C196-0004.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0005/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0005/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177842/VM94C196-0005.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0006/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0006/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177726/VM94C196-0006.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0007/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0007/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177782/VM94C196-0007.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0008/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0008/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177786/VM94C196-0008.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0009/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0009/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177874/VM94C196-0009.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0010/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
