URI,rdf:type,rico:hasContentOfType,rico:hasInstantiation,owl:sameAs,rdfs:label,rico:title,rdfs:comment,rdfs:seeAlso,vocab:inventoryNumber,vocab:archivalReferenceCode
<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P>,rico:Record,vocab:cartographicImage,"<http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P/i/01> , <http://data.qdmtl.ca/record/VM001-4-2_0806-1-1-P/i/02>",,"""Plan d’expropriation, secteur de Radio-Canada""@fr","""Plan d’expropriation, secteur de Radio-Canada""@fr","""Carte index fournie en pièce jointe du dossier D0196 : les numéros inscrits sur ce plan d'expropriation correspondent aux numéros d’inventaires apparaissant sur les photographies.""@fr",<https://archivesdemontreal.com/2013/10/15/les-quartiers-disparus-de-montreal-le-secteur-de-la-societe-radio-canada-faubourg-a-mlasse-9-juillet-1963>,,"""VM001-4-2_0806-1-1-P"""
<http://data.qdmtl.ca/record/VM094-C196-0001>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0001/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0001/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0001>,"""VM094-C196-0001""","""VM094-C196-0001""",,,"""11""","""VM094-C196-0001"""
<http://data.qdmtl.ca/record/VM094-C196-0002>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0002/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0002/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0002>,"""VM094-C196-0002""","""VM094-C196-0002""",,,"""11""","""VM094-C196-0002"""
<http://data.qdmtl.ca/record/VM094-C196-0003>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0003/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0003/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0003>,"""VM094-C196-0003""","""VM094-C196-0003""",,,"""11""","""VM094-C196-0003"""
<http://data.qdmtl.ca/record/VM094-C196-0004>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0004/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0004/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0004>,"""VM094-C196-0004""","""VM094-C196-0004""",,,"""11""","""VM094-C196-0004"""
<http://data.qdmtl.ca/record/VM094-C196-0005>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0005/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0005/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0005>,"""VM094-C196-0005""","""VM094-C196-0005""",,,"""13""","""VM094-C196-0005"""
<http://data.qdmtl.ca/record/VM094-C196-0006>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0006/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0006/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0006>,"""VM094-C196-0006""","""VM094-C196-0006""",,,"""13""","""VM094-C196-0006"""
<http://data.qdmtl.ca/record/VM094-C196-0007>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0007/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0007/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0007>,"""VM094-C196-0007""","""VM094-C196-0007""",,,"""13""","""VM094-C196-0007"""
<http://data.qdmtl.ca/record/VM094-C196-0008>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0008/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0008/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0008>,"""VM094-C196-0008""","""VM094-C196-0008""",,,"""23""","""VM094-C196-0008"""
<http://data.qdmtl.ca/record/VM094-C196-0009>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0009/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0009/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0009>,"""VM094-C196-0009""","""VM094-C196-0009""",,,"""14""","""VM094-C196-0009"""
<http://data.qdmtl.ca/record/VM094-C196-0010>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0010/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0010/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0010>,"""VM094-C196-0010""","""VM094-C196-0010""",,,"""14""","""VM094-C196-0010"""
<http://data.qdmtl.ca/record/VM094-C196-0011>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0011/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0011/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0011>,"""VM094-C196-0011""","""VM094-C196-0011""",,,"""14""","""VM094-C196-0011"""
<http://data.qdmtl.ca/record/VM094-C196-0012>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0012/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0012/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0012>,"""VM094-C196-0012""","""VM094-C196-0012""",,,"""14""","""VM094-C196-0012"""
<http://data.qdmtl.ca/record/VM094-C196-0013>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0013/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0013/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0013>,"""VM094-C196-0013""","""VM094-C196-0013""",,,"""9""","""VM094-C196-0013"""
<http://data.qdmtl.ca/record/VM094-C196-0014>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0014/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0014/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0014>,"""VM094-C196-0014""","""VM094-C196-0014""",,,"""9""","""VM094-C196-0014"""
<http://data.qdmtl.ca/record/VM094-C196-0015>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0015/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0015/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0015>,"""VM094-C196-0015""","""VM094-C196-0015""",,,"""9""","""VM094-C196-0015"""
<http://data.qdmtl.ca/record/VM094-C196-0016>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0016/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0016/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0016>,"""VM094-C196-0016""","""VM094-C196-0016""",,,"""9""","""VM094-C196-0016"""
<http://data.qdmtl.ca/record/VM094-C196-0017>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0017/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0017/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0017>,"""VM094-C196-0017""","""VM094-C196-0017""",,,"""9""","""VM094-C196-0017"""
<http://data.qdmtl.ca/record/VM094-C196-0018>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0018/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0018/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0018>,"""VM094-C196-0018""","""VM094-C196-0018""",,,"""9""","""VM094-C196-0018"""
